 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Set/2025
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"320435 RIO BANANAL";-;1;-;1;1;1;-;3;4;1;2;1;1;2;1;-;2;8;1;30
"320440 RIO NOVO DO SUL";-;-;1;-;2;2;3;1;11;6;1;-;1;-;-;-;1;4;-;33
"320450 SANTA LEOPOLDINA";-;-;8;4;11;5;17;-;19;10;21;2;3;-;-;-;2;12;3;117
"320455 SANTA MARIA DE JETIBA";-;2;1;4;16;12;16;19;47;66;36;17;18;9;2;5;35;158;8;471
"320460 SANTA TERESA";-;2;1;8;3;2;3;-;3;-;1;-;2;-;-;7;20;59;20;131
"320465 SAO DOMINGOS DO NORTE";-;8;1;2;2;1;3;1;1;2;3;-;-;-;1;-;3;11;-;39
"320470 SAO GABRIEL DA PALHA";1;52;13;19;84;69;51;28;66;15;30;2;16;49;1;29;50;84;-;659
"320480 SAO JOSE DO CALCADO";-;2;-;3;12;1;19;5;2;63;5;3;1;1;-;2;17;29;6;171
"320490 SAO MATEUS";-;7;16;28;40;18;51;68;111;51;26;13;99;22;1;16;36;118;12;733
"320495 SAO ROQUE DO CANAA";-;-;-;2;1;1;1;-;1;1;1;-;-;1;-;1;-;-;2;12
"320500 SERRA";-;91;627;103;225;53;35;48;77;83;12;12;109;17;1;8;141;90;53;1785
"320501 SOORETAMA";-;1;8;5;3;7;-;1;14;6;1;1;20;2;-;-;4;7;1;81
"320503 VARGEM ALTA";-;8;3;1;2;3;5;3;8;39;7;3;7;2;-;-;7;28;7;133
"320506 VENDA NOVA DO IMIGRANTE";-;-;-;2;2;-;-;1;5;20;3;9;3;1;-;-;7;15;1;69
"320510 VIANA";-;4;40;57;93;23;20;7;22;18;2;8;4;2;1;-;26;27;10;364
"320515 VILA PAVAO";-;10;12;6;17;6;6;1;3;5;1;10;4;2;-;1;5;6;2;97
"320517 VILA VALERIO";-;5;1;3;3;1;1;2;3;1;-;-;1;2;-;-;3;3;1;30
"320520 VILA VELHA";-;113;697;239;316;65;94;22;92;53;31;40;92;47;9;13;124;132;12;2191
"320530 VITORIA";-;61;203;85;354;28;52;19;42;21;7;23;75;31;1;6;116;66;14;1204
"330010 ANGRA DOS REIS";1;255;5;21;43;3;25;4;32;10;2;1;9;1;1;3;19;166;20;621
"330015 APERIBE";-;36;13;14;31;67;53;3;7;25;1;5;7;1;-;8;3;25;3;302
"330020 ARARUAMA";-;42;-;14;74;3;22;-;3;3;-;-;-;1;1;-;-;21;-;184
"330022 AREAL";-;-;-;3;3;-;1;-;5;2;1;-;-;-;-;-;1;11;2;29
"330023 ARMACAO DOS BUZIOS";-;4;-;1;27;3;5;1;-;-;-;-;-;-;3;-;6;33;7;90
"330025 ARRAIAL DO CABO";-;10;1;11;5;3;13;-;1;9;-;1;3;1;-;2;5;38;5;108
"330030 BARRA DO PIRAI";1;165;271;24;149;96;107;24;92;44;9;7;10;3;31;4;20;157;7;1221
"330040 BARRA MANSA";-;73;9;15;85;11;34;5;33;23;4;3;21;4;25;2;9;232;6;594
"330045 BELFORD ROXO";1;856;55;214;494;166;61;9;9;62;3;6;9;3;1;26;132;164;15;2286
"330050 BOM JARDIM";-;-;-;-;17;-;3;1;5;26;-;2;5;-;1;-;-;48;8;116
"330060 BOM JESUS DO ITABAPOANA";3;24;3;29;154;15;38;9;48;123;7;12;82;1;-;-;19;49;-;616
"330070 CABO FRIO";1;69;6;52;122;18;27;1;3;8;3;2;3;2;5;4;7;92;12;437
"330080 CACHOEIRAS DE MACACU";-;37;1;73;31;14;38;7;6;7;2;1;-;-;-;1;12;34;8;272
"330090 CAMBUCI";-;7;1;45;102;60;102;6;6;25;-;5;7;4;-;6;34;71;12;493
"330093 CARAPEBUS";-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;2;-;1;6
"330095 COMENDADOR LEVY GASPARIAN";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"330100 CAMPOS DOS GOYTACAZES";2;1132;20;547;811;208;618;25;831;308;51;75;20;1;4;15;187;508;20;5383
"330110 CANTAGALO";-;18;-;13;26;11;6;2;3;35;1;-;-;-;-;-;2;89;6;212
"330115 CARDOSO MOREIRA";-;7;1;1;4;2;1;-;-;1;-;-;-;-;-;-;-;2;1;20
"330120 CARMO";-;27;2;-;15;5;9;-;4;22;2;4;6;1;-;1;-;38;18;154
"330130 CASIMIRO DE ABREU";-;8;5;51;24;2;20;-;6;1;2;-;1;1;-;4;3;27;2;157
"330140 CONCEICAO DE MACABU";-;14;1;-;4;1;33;-;-;-;-;2;-;-;-;-;-;3;-;58
"330150 CORDEIRO";-;23;1;5;43;2;15;2;12;44;-;-;2;1;-;2;2;41;1;196
"330160 DUAS BARRAS";-;-;-;-;2;2;-;-;1;19;-;1;2;-;-;-;-;28;1;56
"330170 DUQUE DE CAXIAS";19;1328;29;150;416;68;94;10;7;55;10;11;8;2;1;18;117;334;55;2732
"330180 ENGENHEIRO PAULO DE FRONTIN";-;9;1;3;13;1;27;2;3;2;-;2;1;1;1;-;3;20;2;91
"330185 GUAPIMIRIM";-;31;1;15;28;2;4;2;1;5;3;1;-;-;-;-;5;9;13;120
"330187 IGUABA GRANDE";-;5;-;2;11;-;8;-;1;1;-;-;-;-;-;-;-;3;-;31
"330190 ITABORAI";1;143;40;127;208;50;52;4;9;23;3;6;3;2;-;-;7;57;31;766
"330200 ITAGUAI";1;116;10;39;21;5;6;1;12;3;1;3;1;-;-;9;30;23;2;283
"330205 ITALVA";-;2;-;7;12;3;2;-;-;-;-;1;-;-;-;-;1;3;1;32
"330210 ITAOCARA";1;33;24;42;101;46;109;15;8;39;3;15;3;1;-;13;2;37;29;521
"330220 ITAPERUNA";1;23;7;53;46;18;18;1;12;15;2;4;3;1;1;4;20;45;3;277
"330225 ITATIAIA";-;7;2;2;5;2;4;1;41;5;-;1;2;1;-;-;20;53;1;147
"330227 JAPERI";-;37;6;5;37;10;40;28;5;19;-;-;1;1;-;4;11;22;4;230
"330230 LAJE DO MURIAE";-;5;-;1;1;3;1;1;3;2;-;-;-;-;-;1;1;7;3;29
"330240 MACAE";1;50;116;208;15;12;27;-;21;9;2;1;2;-;9;50;21;187;7;738
"330245 MACUCO";-;4;-;2;1;-;9;-;2;8;-;-;2;-;-;-;3;28;1;60
"330250 MAGE";7;557;19;69;137;17;28;4;3;6;2;4;2;-;-;1;53;134;9;1052
"330260 MANGARATIBA";2;59;7;19;104;11;22;5;16;1;-;1;-;-;1;1;12;18;-;279
"330270 MARICA";1;31;2;18;24;14;32;8;15;18;1;3;-;1;-;1;10;112;4;295
"330280 MENDES";-;9;1;3;3;-;29;2;17;4;1;2;1;-;1;1;-;26;7;107
"330285 MESQUITA";-;33;4;10;58;16;5;-;1;3;1;-;-;-;-;2;18;38;2;191
"330290 MIGUEL PEREIRA";-;-;-;1;3;2;4;-;-;2;-;-;-;-;2;2;3;6;5;30
"330300 MIRACEMA";-;53;5;7;38;22;97;9;61;13;3;6;35;2;4;6;4;34;4;403
"330310 NATIVIDADE";-;6;-;25;3;1;4;3;59;54;17;12;41;8;-;-;51;53;5;342
"330320 NILOPOLIS";-;155;8;21;88;11;5;-;1;6;1;-;2;-;-;-;4;25;4;331
"330330 NITEROI";-;171;27;104;103;56;46;5;10;23;12;6;3;1;-;3;11;37;8;626
"330340 NOVA FRIBURGO";-;7;1;3;37;1;5;2;13;156;1;2;2;-;-;7;7;148;15;407
"330350 NOVA IGUACU";14;892;65;175;499;92;39;33;12;39;10;4;6;2;7;6;60;161;6;2122
"330360 PARACAMBI";-;40;1;16;56;20;110;16;37;62;3;2;1;1;-;1;6;30;7;409
"330370 PARAIBA DO SUL";-;3;-;3;7;6;27;2;34;45;2;2;30;1;-;-;2;49;45;258
"330380 PARATY";-;26;5;62;6;10;6;6;25;7;4;7;9;2;6;10;42;52;45;330
"330385 PATY DO ALFERES";-;2;1;-;4;-;5;1;-;5;-;-;4;1;-;1;1;7;5;37
"330390 PETROPOLIS";-;44;3;6;60;8;8;3;10;31;2;3;2;-;1;1;7;191;20;400
"330395 PINHEIRAL";-;5;-;-;10;3;17;-;1;8;1;-;3;9;3;1;3;61;2;127
"330400 PIRAI";-;2;1;2;2;-;3;1;9;6;1;4;6;1;-;1;6;54;3;102
"330410 PORCIUNCULA";-;-;20;54;16;2;90;3;2;1;3;-;-;-;-;-;1;-;1;193
"330411 PORTO REAL";-;-;-;2;5;1;4;2;47;7;-;-;3;2;5;2;1;18;2;101
"330412 QUATIS";-;1;-;2;-;1;5;-;67;3;1;1;2;1;-;2;3;26;2;117
"330414 QUEIMADOS";-;76;4;68;177;61;15;20;11;10;4;-;1;-;-;2;3;37;2;491
"330415 QUISSAMA";-;11;1;19;86;1;13;3;13;3;-;1;1;-;-;9;7;34;1;203
"330420 RESENDE";-;17;7;1;107;30;49;20;322;25;6;4;8;10;2;5;71;177;7;868
"330430 RIO BONITO";-;32;10;185;69;32;58;2;6;16;4;10;5;1;-;1;3;15;5;454
"330440 RIO CLARO";-;3;-;1;1;-;4;2;7;6;-;-;2;-;-;-;6;14;-;46
"330450 RIO DAS FLORES";1;-;-;-;8;-;14;1;3;-;-;2;4;-;1;2;5;44;19;104
"330452 RIO DAS OSTRAS";-;1;-;48;87;6;26;2;38;19;2;2;1;2;1;7;35;86;1;364
"330455 RIO DE JANEIRO";96;4983;92;278;1823;1567;422;65;99;130;25;29;33;8;5;41;435;1302;180;11613
"330460 SANTA MARIA MADALENA";-;-;-;-;5;2;3;2;1;17;2;-;2;-;-;-;-;2;2;38
"330470 SANTO ANTONIO DE PADUA";2;164;15;85;214;158;96;3;122;23;3;32;21;21;2;43;34;111;5;1154
"330475 SAO FRANCISCO DE ITABAPOANA";-;14;-;7;43;6;35;1;28;16;-;-;14;2;-;1;22;39;1;229
"330480 SAO FIDELIS";-;101;6;204;268;73;100;16;36;37;5;36;8;6;-;1;32;114;2;1045
"330490 SAO GONCALO";16;354;22;472;549;303;201;21;21;61;26;10;7;1;-;2;20;148;32;2266
"330500 SAO JOAO DA BARRA";-;51;-;90;28;7;33;-;27;8;4;4;3;-;-;7;68;46;2;378
"330510 SAO JOAO DE MERITI";1;692;11;48;218;49;20;6;4;12;1;3;3;-;-;17;31;119;7;1242
"330513 SAO JOSE DE UBA";-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;2;-;6
"330515 SAO JOSE DO VALE DO RIO PRETO";-;3;3;4;11;3;9;2;29;16;2;-;1;-;-;-;-;28;-;111
"330520 SAO PEDRO DA ALDEIA";-;25;-;4;29;3;7;1;-;-;-;-;-;-;1;-;5;21;8;104
"330530 SAO SEBASTIAO DO ALTO";-;4;1;2;11;2;16;1;6;41;4;4;3;-;-;6;2;22;5;130
"330540 SAPUCAIA";-;-;2;-;2;1;5;1;-;-;-;-;-;-;-;-;-;6;3;20
"330550 SAQUAREMA";-;10;-;4;13;1;9;4;3;2;-;-;1;-;-;1;5;54;7;114
"330555 SEROPEDICA";-;23;-;1;11;1;10;1;6;8;3;-;2;-;-;1;5;9;3;84
"330560 SILVA JARDIM";-;7;21;15;37;15;2;3;2;-;3;-;2;1;1;-;-;9;6;124
"330570 SUMIDOURO";-;3;-;-;-;-;-;-;-;7;-;2;-;-;-;-;9;13;1;35
"330575 TANGUA";1;9;11;159;10;2;4;2;1;2;1;3;1;-;1;-;19;19;6;251
"330580 TERESOPOLIS";-;14;-;2;8;1;1;1;4;28;-;-;-;1;-;-;8;74;1;143
"330590 TRAJANO DE MORAES";-;-;-;-;3;-;6;1;9;16;1;1;4;-;-;2;3;19;10;75
"330600 TRES RIOS";-;4;-;1;8;2;168;5;10;48;-;1;3;-;-;-;15;29;3;297
"330610 VALENCA";-;20;13;65;147;95;203;9;25;15;1;2;6;9;1;1;5;102;59;778
"330615 VARRE-SAI";-;-;-;-;1;1;8;-;12;45;-;-;5;1;-;1;40;14;1;129
"330620 VASSOURAS";-;15;-;23;183;6;28;4;11;4;-;2;6;7;-;2;4;43;9;347
"330630 VOLTA REDONDA";1;99;19;35;246;7;141;9;67;42;16;10;42;31;7;3;40;742;25;1582
"350010 ADAMANTINA";-;6;-;22;4;2;37;7;100;20;14;1;97;30;1;61;105;12;63;582
"350020 ADOLFO";-;-;3;9;1;-;-;-;4;1;-;2;10;-;1;13;-;14;7;65
"350030 AGUAI";-;-;1;27;3;-;18;3;7;1;-;-;14;9;-;-;-;24;30;137
"350040 AGUAS DA PRATA";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;1;5
"350050 AGUAS DE LINDOIA";-;-;-;-;-;-;-;-;12;1;3;2;3;1;-;2;-;31;5;60
"350060 AGUAS DE SAO PEDRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;5
"350070 AGUDOS";-;-;-;3;4;-;20;5;86;12;4;5;64;3;1;5;24;19;21;276
"350075 ALAMBARI";-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;1;5
"350080 ALFREDO MARCONDES";-;-;-;-;-;-;-;-;-;2;1;1;3;2;1;14;11;4;23;62
"350090 ALTAIR";-;-;-;-;2;1;2;1;1;-;1;-;2;1;-;2;-;6;2;21
"350100 ALTINOPOLIS";-;-;-;-;-;-;-;-;3;4;-;1;-;-;-;1;7;36;19;71
"350110 ALTO ALEGRE";-;-;-;-;-;-;-;-;7;-;-;-;2;-;11;16;1;1;47;85
"350115 ALUMINIO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;2;6
"350120 ALVARES FLORENCE";-;1;3;-;-;1;1;1;-;-;-;-;-;1;-;2;1;10;7;28
"350130 ALVARES MACHADO";-;-;-;3;1;3;6;-;6;16;1;-;7;24;3;55;112;3;84;324
"350140 ALVARO DE CARVALHO";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3;1;1;-;7
"350150 ALVINLANDIA";-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;-;1;5;-;11
"350160 AMERICANA";-;3;-;8;15;11;8;35;43;6;-;1;78;6;5;38;2;82;298;639
"350170 AMERICO BRASILIENSE";-;-;-;2;5;2;1;3;16;5;3;4;72;3;-;64;11;21;105;317
"350180 AMERICO DE CAMPOS";-;1;1;-;-;-;1;-;-;-;-;-;3;3;-;1;2;10;9;31
"350190 AMPARO";-;-;-;-;3;-;1;5;39;4;1;4;9;2;-;-;13;57;204;342
"350200 ANALANDIA";-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;6;1;10
"350210 ANDRADINA";-;19;13;65;81;4;77;1;69;6;2;28;10;4;18;16;20;19;56;508
"350220 ANGATUBA";-;-;-;-;-;-;-;-;10;32;1;-;-;-;1;-;-;31;12;87
"350230 ANHEMBI";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;9;-;3;15
"350240 ANHUMAS";-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;4;11;1;11;30
"350250 APARECIDA";-;2;-;1;1;-;5;2;6;3;-;-;3;3;-;1;9;9;14;59
"350260 APARECIDA D'OESTE";-;-;-;18;15;-;8;4;26;19;2;1;20;1;1;30;2;22;27;196
"350270 APIAI";-;-;-;-;2;-;-;-;9;2;1;2;3;1;-;2;-;15;2;39
"350275 ARACARIGUAMA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;5;9
"350280 ARACATUBA";-;4;15;47;7;11;4;15;14;5;6;2;47;19;19;42;10;65;278;610
"350290 ARACOIABA DA SERRA";-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;5;1;9
"350300 ARAMINA";-;-;-;1;3;-;1;-;-;-;-;5;-;-;1;1;2;5;1;20
"350310 ARANDU";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;4
"350315 ARAPEI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"350320 ARARAQUARA";-;9;1;13;11;2;4;5;37;7;4;27;224;5;4;184;14;50;248;849
"350330 ARARAS";-;3;1;8;10;1;3;-;34;3;-;2;7;3;-;21;-;34;218;348
"350335 ARCO-IRIS";-;1;-;-;-;-;-;-;1;-;-;-;1;1;-;9;15;2;3;33
"350340 AREALVA";-;-;2;-;-;-;2;1;2;-;-;-;2;-;-;2;4;1;7;23
"350350 AREIAS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350360 AREIOPOLIS";-;-;-;1;1;-;-;1;2;-;-;-;1;-;-;-;1;6;5;18
"350370 ARIRANHA";-;-;-;8;2;-;-;1;4;1;-;-;1;1;-;-;1;18;9;46
"350380 ARTUR NOGUEIRA";-;-;-;-;-;-;1;1;13;-;-;-;-;2;-;3;-;2;13;35
"350390 ARUJA";-;-;-;3;1;-;-;-;2;3;-;1;2;-;-;2;3;29;2;48
"350395 ASPASIA";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;2;6
"350400 ASSIS";-;2;1;7;21;2;24;10;30;-;2;1;47;4;5;2;29;94;137;418
"350410 ATIBAIA";-;-;-;1;4;-;2;9;3;5;2;-;9;1;-;7;4;43;7;97
"350420 AURIFLAMA";-;-;1;20;1;-;9;12;41;14;2;-;103;16;25;44;2;34;48;372
"350430 AVAI";-;-;-;-;-;-;1;-;2;-;1;-;2;-;-;2;1;-;2;11
"350440 AVANHANDAVA";-;1;-;1;-;-;5;1;6;1;1;-;15;4;-;6;-;11;17;69
"350450 AVARE";-;-;-;-;-;-;3;-;16;-;-;1;1;1;1;2;6;35;24;90
"350460 BADY BASSITT";-;-;1;1;-;1;3;3;20;6;-;-;72;10;8;11;14;73;166;389
"350470 BALBINOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;5;6;25
"350480 BALSAMO";-;-;1;2;-;-;1;-;5;2;-;-;7;-;-;10;-;4;26;58
"350490 BANANAL";-;1;-;-;-;1;1;-;3;-;-;-;-;1;-;-;-;2;1;10
"350500 BARAO DE ANTONINA";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;4;8;1;1;16
"350510 BARBOSA";-;-;-;-;-;-;2;-;1;-;1;-;1;1;1;8;-;2;4;21
"350520 BARIRI";-;3;-;1;-;-;-;1;2;-;-;-;2;2;1;-;1;78;43;134
"350530 BARRA BONITA";-;3;-;4;6;-;2;8;21;2;-;-;3;-;-;2;4;20;8;83
"350535 BARRA DO CHAPEU";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;3
"350550 BARRETOS";4;19;3;46;26;29;42;4;50;40;3;13;218;1;3;24;26;131;147;829
"350560 BARRINHA";-;1;-;1;-;-;-;-;-;-;1;-;5;4;-;-;2;6;4;24
"350570 BARUERI";2;15;8;40;29;10;29;69;234;24;10;15;37;6;3;9;15;271;237;1063
"350580 BASTOS";-;1;-;4;4;-;13;6;130;82;18;9;65;332;7;82;239;22;34;1048
"350590 BATATAIS";-;-;1;7;6;-;2;1;13;57;2;-;21;5;1;30;13;54;47;260
"350600 BAURU";-;5;3;16;54;3;29;12;57;12;1;3;252;4;2;25;126;110;217;931
"350610 BEBEDOURO";-;-;-;2;2;1;-;10;34;3;-;-;10;6;-;15;6;171;22;282
"350620 BENTO DE ABREU";-;1;-;2;1;-;-;-;-;2;1;-;-;3;-;1;3;-;8;22
"350630 BERNARDINO DE CAMPOS";-;-;-;-;3;1;-;2;7;1;-;-;5;1;-;1;6;45;71;143
"350635 BERTIOGA";-;3;2;56;2;1;7;4;16;9;-;-;3;3;7;5;8;53;14;193
"350640 BILAC";-;-;-;8;1;-;5;2;3;3;-;-;27;2;2;5;-;7;16;81
"350650 BIRIGUI";-;3;4;34;7;4;8;29;65;48;3;2;57;18;4;44;6;18;103;457
"350660 BIRITIBA-MIRIM";-;-;-;-;-;2;1;-;2;-;1;-;3;-;-;-;-;6;3;18
"350670 BOA ESPERANCA DO SUL";-;-;-;1;1;-;-;10;1;4;-;-;3;-;-;4;5;9;6;44
"350680 BOCAINA";-;-;-;-;-;1;-;1;7;3;-;2;1;1;-;5;1;2;-;24
"350690 BOFETE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1;7;11
"350700 BOITUVA";-;-;-;-;-;1;1;-;4;-;3;-;1;-;7;-;2;48;26;93
"350710 BOM JESUS DOS PERDOES";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5;1;7
"350715 BOM SUCESSO DE ITARARE";-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;2;5
"350720 BORA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;1;6
"350730 BORACEIA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;6;-;9
"350740 BORBOREMA";1;-;2;19;11;10;3;1;32;5;-;-;33;4;-;85;32;42;129;409
"350745 BOREBI";-;-;-;-;-;-;-;1;-;1;-;-;5;-;-;2;1;1;-;11
"350750 BOTUCATU";-;1;3;10;4;3;2;3;19;7;3;-;9;-;4;9;12;388;73;550
"350760 BRAGANCA PAULISTA";-;2;-;1;1;-;3;20;34;10;5;1;1;3;1;5;2;90;6;185
"350770 BRAUNA";-;-;-;-;-;-;1;-;1;-;-;-;1;1;-;1;1;2;2;10
"350775 BREJO ALEGRE";-;-;-;1;-;-;-;-;1;-;-;-;2;1;2;1;1;-;3;12
"350780 BRODOWSKI";-;-;-;2;1;1;1;-;5;4;-;1;22;2;-;2;22;16;7;86
"350790 BROTAS";-;-;1;13;2;15;1;19;10;5;-;1;14;3;9;5;5;38;38;179
"350800 BURI";-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;2;4;11
"350810 BURITAMA";-;-;2;9;2;6;8;5;37;4;-;1;13;15;9;16;1;18;42;188
"350820 BURITIZAL";-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;2;2;-;-;7
"350830 CABRALIA PAULISTA";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;12;16
"350840 CABREUVA";-;-;-;1;-;-;-;2;2;5;3;1;-;1;-;-;-;12;33;60
"350850 CACAPAVA";-;1;-;7;5;1;-;5;13;4;2;1;10;2;-;2;2;114;15;184
"350860 CACHOEIRA PAULISTA";-;-;-;6;13;3;11;5;16;1;1;-;8;10;-;1;1;15;1;92
"350870 CACONDE";-;-;-;-;-;1;1;3;3;3;1;1;1;-;-;-;3;92;23;132
"350880 CAFELANDIA";-;1;-;-;-;1;-;1;8;2;1;-;4;2;14;-;11;33;12;90
"350890 CAIABU";-;-;-;-;1;-;2;-;3;-;1;-;6;1;-;6;15;7;6;48
"350900 CAIEIRAS";-;1;-;1;2;-;2;2;15;-;1;-;-;-;-;1;-;62;19;106
"350910 CAIUA";-;-;2;1;-;3;4;1;5;9;1;10;2;7;1;4;3;2;4;59
"350920 CAJAMAR";-;-;-;-;-;-;-;-;13;-;1;-;1;1;-;1;1;62;11;91
"350925 CAJATI";-;-;-;13;1;1;11;1;2;-;-;-;2;1;1;-;-;7;3;43
"350930 CAJOBI";-;30;-;2;40;4;18;7;31;11;3;-;28;11;-;14;61;17;48;325
"350940 CAJURU";-;-;-;13;16;-;-;3;64;6;1;1;21;7;22;16;10;76;124;380
"350945 CAMPINA DO MONTE ALEGRE";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;7;5;14
"350950 CAMPINAS";5;22;24;90;114;41;48;269;364;20;14;10;204;32;21;102;61;956;387;2784
"350960 CAMPO LIMPO PAULISTA";-;-;-;-;-;-;3;39;37;4;2;-;5;3;-;-;-;55;43;191
"350970 CAMPOS DO JORDAO";-;-;-;2;1;-;-;2;-;4;-;-;-;-;-;-;-;-;-;9
"350980 CAMPOS NOVOS PAULISTA";-;1;-;-;-;-;-;1;-;1;-;-;-;1;-;-;2;2;15;23
"350990 CANANEIA";-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;4;1;8
"350995 CANAS";-;-;-;-;3;1;2;-;4;3;-;-;-;1;-;2;-;3;-;19
"351000 CANDIDO MOTA";1;1;-;5;5;-;9;16;59;8;2;5;14;2;1;4;40;45;96;313
"351010 CANDIDO RODRIGUES";-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;1;3;-;4;11
"351015 CANITAR";-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;3;1;7;15
"351020 CAPAO BONITO";-;-;-;-;1;1;-;5;11;8;-;3;3;-;2;-;8;5;7;54
"351030 CAPELA DO ALTO";-;-;-;-;-;-;1;-;-;-;-;-;1;-;3;-;-;-;-;5
"351040 CAPIVARI";-;-;-;6;2;2;4;4;40;4;1;1;9;1;1;1;1;62;11;150
"351050 CARAGUATATUBA";-;8;1;42;20;10;11;40;44;-;2;3;195;56;4;7;25;297;82;847
"351060 CARAPICUIBA";-;2;10;14;17;2;4;75;55;18;13;5;70;1;5;13;8;153;106;571
"351070 CARDOSO";-;-;48;22;10;5;6;9;100;3;3;4;43;19;6;13;6;40;41;378
"351080 CASA BRANCA";-;1;-;-;-;-;6;30;17;5;2;-;2;9;1;1;1;22;16;113
"351090 CASSIA DOS COQUEIROS";-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;1;4;4;12
"351100 CASTILHO";-;-;-;20;10;7;14;1;19;25;1;8;74;8;26;18;20;6;4;261
"351110 CATANDUVA";-;4;4;43;17;1;6;5;78;-;1;3;79;145;7;28;13;92;123;649
"351120 CATIGUA";-;-;-;-;3;-;-;-;-;-;-;-;9;3;-;1;1;11;11;39
"351130 CEDRAL";-;1;-;1;-;-;-;-;12;1;-;2;9;-;-;7;4;12;31;80
"351140 CERQUEIRA CESAR";-;-;-;-;-;-;-;-;3;-;-;1;1;-;-;-;19;12;15;51
"351150 CERQUILHO";-;-;-;1;-;-;-;1;9;1;-;-;1;-;2;1;-;9;21;46
"351160 CESARIO LANGE";-;-;-;-;-;-;-;-;2;-;1;-;-;-;3;1;-;8;3;18
"351170 CHARQUEADA";-;-;-;-;1;-;1;2;6;1;1;-;-;2;3;16;3;15;2;53
"351190 CLEMENTINA";-;-;1;3;2;1;1;-;1;-;-;2;5;1;-;16;-;2;8;43
"351200 COLINA";-;-;-;1;1;1;8;6;21;14;4;-;29;1;1;26;14;89;14;230
"351210 COLOMBIA";-;2;-;19;3;1;2;-;3;2;-;-;11;-;-;-;1;2;7;53
"351220 CONCHAL";-;1;-;2;2;1;13;2;88;1;1;-;8;10;1;-;1;4;30;165
"351230 CONCHAS";-;-;-;1;-;-;-;1;28;1;-;1;-;-;6;-;11;12;114;175
"351240 CORDEIROPOLIS";-;-;1;-;-;-;-;1;1;1;-;1;-;-;6;2;1;6;18;38
"351250 COROADOS";-;-;-;1;1;-;-;-;-;1;1;-;2;1;1;6;2;4;12;32
"351260 CORONEL MACEDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;6
"351270 CORUMBATAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"351280 COSMOPOLIS";-;2;-;7;7;1;15;17;51;13;1;-;1;1;2;12;4;32;20;186
"351290 COSMORAMA";-;-;1;2;1;-;-;-;-;1;-;-;-;1;1;1;-;14;6;28
"351300 COTIA";-;2;-;2;8;6;1;23;60;15;5;1;2;-;-;-;5;87;24;241
"351310 CRAVINHOS";-;-;-;6;5;3;9;1;-;11;1;-;14;8;1;4;4;8;15;90
"351320 CRISTAIS PAULISTA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4;1;7
"351330 CRUZALIA";-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;1;-;5;1;11
